State,Projection1,Projection2
AK,3,8
AL,169,406
AZ,19,46
AR,52,125
CA,1264,3031
CO,166,397
CT,163,392
DE,38,91
FL,621,1490
GA,945,2263
HI,9,22
ID,56,135
IL,770,1847
IN,46,111
IA,93,224
KS,73,174
KY,71,170
LA,678,1622
ME,89,212
MD,167,401
MA,183,438
MI,198,475
MN,48,116
MS,206,495
MO,162,387
MT,29,70
NE,29,70
NV,141,338
NH,26,63
NJ,1635,3909
NM,72,172
NY,7724,18374
NC,70,167
ND,10,24
OH,501,1201
OK,58,138
OR,146,351
PA,402,964
RI,38,92
SC,235,563
SD,24,58
TN,122,293
TX,455,1091
UT,148,355
VT,65,155
VA,155,373
WA,1327,3171
WV,5,12
WI,255,611
WY,22,52
