state,fips,R0,t0,eps,t_break,eps2,t_delta_phases,test_fraction,hosp_fraction,log10_I_initial
Alabama,01,3.42341204,62.27854534,0.3213168579,20.56020149,0.3242379202,17.43012466,0.0708063982,0.9999988646,1.036318806
Alaska,02,3.460267551,66.62548398,0.2340859451,10.9220258,0.5230809391,44.50021796,0.0486435119,0.9999553718,1.101623938
Arizona,04,3.6,60,0.306,20.8,0.472,45.6,0.044,1,1.039
Arkansas,05,4.436912568,63.26025606,0.2253819485,9.988348434,0.3628649371,45.0652888,0.0907607571,0.9118412634,1.02882386
California,06,4.084454182,56.93487593,0.2521756774,22.29937367,0.3158316736,43.66323191,0.0523503651,0.9999981388,1.294496263
Colorado,08,3.418073558,55.73054705,0.3130418295,22.57618821,0.2633062118,14.00453376,0.055125875,0.9999698361,1.317590159
Connecticut,09,3.632542869,60.37625788,0.283547927,23.14584552,0.2229842921,14.00312186,0.0479322608,0.9284327153,1.46932036
Delaware,10,3.435241502,65.20111241,0.3260323909,20.32760066,0.2561683071,14.04022099,0.0625523785,0.9994744931,0.9666915106
District of Columbia,11,3.458440445,62.9527788,0.3469772053,20.8092002,0.3180624382,23.98215601,0.0410346651,0.999999977,1.02726966
Florida,12,3.706970205,59.00805191,0.2319953904,22.62594559,0.3156216358,25.30042459,0.1000413645,0.648991447,1.278527542
Georgia,13,3.752212733,59.52169416,0.2878301623,20.97339132,0.2665094096,14.04710652,0.0884401618,0.9999968872,1.108062093
Hawaii,15,2.814280727,67.88756199,0.252284711,13.46454629,0.4406099179,41.81097074,0.0736106628,0.9995809838,1.482729909
Idaho,16,3.663790114,67.04699384,0.2074354634,12.79567073,0.2947767111,14.00509764,0.0470509622,0.3453810811,1.459296631
Illinois,17,4.098941618,58.17886244,0.2659223042,24.44563461,0.2366464542,44.12193679,0.0506720796,0.999939677,1.078157401
Indiana,18,4.37869171,65.12949636,0.2672031003,15.4495657,0.2169597823,18.24267463,0.054678198,0.9999858247,1.332006391
Iowa,19,4.49646267,64.92488667,0.3291476231,10.31349332,0.2001573384,24.63736753,0.0998715937,0.9998618097,0.7949876442
Kansas,20,4.198110971,67.31175582,0.2429664216,10.06652435,0.2096180892,40.78673036,0.0864045256,0.946462896,1.191263179
Kentucky,21,4.46691181,64.91552845,0.2395390922,12.02817158,0.2484938247,38.94664796,0.030342536,0.9999604627,1.246964953
Louisiana,22,4.23,56,0.27,17,0.2,17,0.033,0.984,1.43
Maine,23,3.917773604,67.64231755,0.2475896002,9.919876773,0.268009361,14.45431157,0.0792284218,0.9997098066,1.010369204
Maryland,24,3.89,65,0.306,21,0.25,15,0.08,1,1.06
Massachusetts,25,4.452965791,54.06866342,0.6153202447,7.123784125,0.2133409608,14.02024016,0.0603325743,0.9980046754,1.036040533
Michigan,26,3.917,60,0.204,22,0.209,15,0.045,0.98,1.725
Minnesota,27,4.419510304,63.57510324,0.3190398716,10.4300712,0.2126932477,35.72992076,0.0793036126,0.8219902125,0.9184566643
Mississippi,28,3.50772595,58.43264998,0.3763121803,18.71248221,0.3078917838,14.00145842,0.0494575968,0.9999876626,1.04213116
Missouri,29,3.486,61,0.278,23,0.3,31,0.031,1,1.264
Montana,30,2.188701416,68.87906468,0.3243932657,15.71681668,0.5985284198,22.35859469,0.0954550257,0.9967636829,1.697497437
Nebraska,31,4.33887172,80.28450062,0.4056354079,6.67685403,0.2074271972,14.00210638,0.164168069,0.999902128,0.9637882656
Nevada,32,3.083,63,0.321,20,0.399,34,0.042,1,1.5
New Hampshire,33,4.2023366,69.63754288,0.2665183936,9.972068454,0.2165461948,27.17210087,0.0752163198,0.9970351184,1.077027525
New Jersey,34,3.898,59,0.259,23,0.244,14,0.062,1,1.801
New Mexico,35,4.499989273,71.80064933,0.2600006198,10.7905736,0.2000004767,30.50034701,0.0570918553,0.7155047901,1.099918651
New York,36,3.384889739,50.00393232,0.2629332323,31.21440447,0.310202128,33.07550554,0.0613955106,0.9999927644,1.99831047
North Carolina,37,3.705,60,0.289,20,0.354,38,0.082,0.988,0.987
North Dakota,38,3.96175603,67.35748271,0.3155166523,8.684243674,0.2221237232,36.2675222,0.0621525159,0.4533371964,0.8786655625
Ohio,39,3.736,60,0.31,20,0.246,22,0.069,0.968,1.068
Oklahoma,40,4.278468003,68.22071078,0.2173675249,12.78948706,0.2594386587,43.62415185,0.0465762324,0.9996680592,1.309145502
Oregon,41,4.194567234,66.96890749,0.2145632552,11.53180393,0.4005180764,48.49539698,0.035833238,0.9997706434,1.483969438
Pennsylvania,42,3.8,61,0.253,23,0.229,14,0.063,0.999,1.413
Rhode Island,44,3.467,65,0.314,21,0.265,14,0.088,0.857,1.021
South Carolina,45,4.499999076,67.76838933,0.2266667132,12.03181877,0.3533334059,44.59709235,0.0549862376,0.999880559,1.298993102
South Dakota,46,4.185897928,79.60014855,0.2460642896,10.87830605,0.2197855791,33.30537326,0.0906422659,0.9116459966,1.068057627
Tennessee,47,4.49969281,65.12990898,0.2289045149,11.02397076,0.26001775,39.24438317,0.1564192526,0.5745511673,1.174580944
Texas,48,4.486011755,67.61092641,0.2229151537,15.34936194,0.2652690329,41.75385611,0.0861271644,0.9999999958,1.478202782
Utah,49,4.499988798,68.49243079,0.2311116864,10.29352581,0.3200007966,47.51889366,0.1197695646,0.9980145872,1.087048833
Vermont,50,2.482363349,68.1099435,0.2860177581,16.81816433,0.4229840085,14.00001891,0.0562707762,0.9038354202,1.772877508
Virginia,51,4.499685669,55.61435128,0.5311482125,8.181053837,0.2311272556,14.06145787,0.0662208485,0.9996057549,0.5864022161
Washington,53,3.301,55,0.227,22,0.309,14,0.071,0.958,1.496
West Virginia,54,3.833848569,72.22706692,0.2191009855,12.07557042,0.237359401,38.71978888,0.0415649903,0.9999450396,1.277882862
Wisconsin,55,4.49986966,63.06134686,0.248896098,13.11353448,0.2177840858,42.35938095,0.0616613,0.9999977162,1.081702498
Wyoming,56,3.386192124,71.02882477,0.251019425,10.551042,0.251019425,15.59535974,0.0858577512,0.858984094,1.088760936
